Timestamp, Event, Value
1,348,Bullet Fired,1
1,440,Bullet Fired,1
1,490,Damage taken,0,025000002
1,507,Damage taken,0,025000002
1,524,Damage taken,0,025000002
1,539,Damage taken,0,025000002
1,540,Bullet Fired,1
1,556,Bullet Missed,1
1,556,Damage taken,0,025000002
1,572,Damage taken,0,025000002
1,590,Damage taken,0,025000002
1,607,Damage taken,0,025000002
1,623,Damage taken,0,025000002
1,640,Damage taken,0,025000002
1,641,Bullet Fired,1
1,655,Bullet Missed,1
1,655,Damage taken,0,025000002
1,672,Damage taken,0,025000002
1,688,Damage taken,0,025000002
1,706,Damage taken,0,025000002
1,723,Damage taken,0,025000002
1,739,Damage taken,0,025000002
1,740,Bullet Fired,1
1,756,Bullet Missed,1
1,756,Damage taken,0,025000002
1,772,Damage taken,0,025000002
1,789,Damage taken,0,025000002
1,806,Damage taken,0,025000002
1,823,Damage taken,0,025000002
1,841,Damage taken,0,025000002
1,843,Bullet Fired,1
1,855,Bullet Missed,1
1,855,Damage taken,0,025000002
1,874,Damage taken,0,025000002
1,889,Damage taken,0,025000002
1,906,Damage taken,0,025000002
1,923,Damage taken,0,025000002
1,939,Damage taken,0,025000002
1,941,Bullet Fired,1
1,956,Bullet Missed,1
1,957,Damage taken,0,025000002
1,973,Damage taken,0,025000002
1,988,Damage taken,0,025000002
2,005,Damage taken,0,025000002
2,022,Damage taken,0,025000002
2,039,Damage taken,0,025000002
2,056,Damage taken,0,025000002
2,072,Damage taken,0,025000002
2,090,Damage taken,0,025000002
2,107,Damage taken,0,025000002
2,124,Damage taken,0,025000002
2,140,Damage taken,0,025000002
2,158,Damage taken,0,025000002
2,173,Damage taken,0,025000002
2,189,Damage taken,0,025000002
2,207,Damage taken,0,025000002
2,223,Damage taken,0,025000002
2,240,Damage taken,0,025000002
2,258,Damage taken,0,025000002
2,272,Damage taken,0,025000002
2,291,Damage taken,0,025000002
2,308,Damage taken,0,025000002
2,323,Damage taken,0,025000002
2,339,Damage taken,0,025000002
2,356,Damage taken,0,025000002
2,372,Damage taken,0,025000002
2,390,Damage taken,0,025000002
2,405,Damage taken,0,025000002
2,422,Damage taken,0,025000002
2,440,Damage taken,0,025000002
2,455,Damage taken,0,025000002
2,472,Damage taken,0,025000002
2,489,Damage taken,0,025000002
2,505,Damage taken,0,024832
2,522,Damage taken,0,025000002
2,538,Damage taken,0,025000002
2,556,Damage taken,0,025000002
2,572,Damage taken,0,025000002
2,589,Damage taken,0,025000002
2,605,Damage taken,0,025000002
2,622,Damage taken,0,025000002
2,639,Damage taken,0,025000002
2,655,Damage taken,0,025000002
2,672,Damage taken,0,025000002
2,688,Damage taken,0,025000002
2,705,Damage taken,0,025000002
2,722,Damage taken,0,025000002
2,738,Damage taken,0,025000002
2,756,Damage taken,0,025000002
2,772,Damage taken,0,025000002
2,788,Damage taken,0,025000002
2,806,Damage taken,0,025000002
2,822,Damage taken,0,025000002
2,838,Damage taken,0,025000002
2,856,Damage taken,0,025000002
2,871,Damage taken,0,025000002
2,889,Damage taken,0,025000002
2,906,Damage taken,0,025000002
2,922,Damage taken,0,025000002
2,938,Damage taken,0,025000002
2,956,Damage taken,0,025000002
2,972,Damage taken,0,025000002
2,989,Damage taken,0,025000002
3,005,Damage taken,0,025000002
3,022,Damage taken,0,025000002
3,039,Damage taken,0,025000002
3,055,Damage taken,0,025000002
3,073,Damage taken,0,025000002
3,088,Damage taken,0,024956
3,107,Damage taken,0,025000002
3,107,Accelerate,1
3,122,Damage taken,0,025000002
3,123,Accelerate,1
3,139,Accelerate,1
3,155,Accelerate,1
3,171,Accelerate,1
3,189,Accelerate,1
3,205,Accelerate,1
3,223,Accelerate,1
3,239,Accelerate,1
3,256,Turn Left,1
3,256,Accelerate,1
3,272,Turn Left,1
3,272,Accelerate,1
3,289,Turn Left,1
3,289,Accelerate,1
3,306,Turn Left,1
3,306,Accelerate,1
3,322,Turn Left,1
3,322,Accelerate,1
3,339,Turn Left,1
3,339,Accelerate,1
3,355,Turn Left,1
3,355,Accelerate,1
3,373,Turn Left,1
3,373,Accelerate,1
3,388,Turn Left,1
3,388,Accelerate,1
3,405,Turn Left,1
3,405,Accelerate,1
3,423,Turn Left,1
3,423,Accelerate,1
3,440,Turn Left,1
3,440,Accelerate,1
3,456,Turn Left,1
3,456,Accelerate,1
3,472,Turn Left,1
3,472,Accelerate,1
3,489,Turn Left,1
3,489,Accelerate,1
3,507,Turn Left,1
3,507,Accelerate,1
3,523,Turn Left,1
3,523,Accelerate,1
3,539,Turn Left,1
3,539,Accelerate,1
3,555,Turn Left,1
3,556,Accelerate,1
3,572,Turn Left,1
3,572,Accelerate,1
3,589,Turn Left,1
3,589,Accelerate,1
3,606,Turn Left,1
3,606,Accelerate,1
3,623,Turn Left,1
3,623,Accelerate,1
3,639,Turn Left,1
3,639,Accelerate,1
3,656,Turn Right,1
3,656,Accelerate,1
3,673,Turn Right,1
3,673,Accelerate,1
3,689,Turn Right,1
3,689,Accelerate,1
3,706,Turn Right,1
3,706,Accelerate,1
3,723,Turn Right,1
3,723,Accelerate,1
3,740,Turn Right,1
3,740,Accelerate,1
3,755,Turn Right,1
3,755,Accelerate,1
3,773,Bullet Missed,1
3,773,Turn Right,1
3,773,Accelerate,1
3,789,Turn Right,1
3,789,Accelerate,1
3,806,Turn Right,1
3,806,Accelerate,1
3,823,Turn Right,1
3,823,Accelerate,1
3,839,Turn Right,1
3,839,Accelerate,1
3,856,Turn Right,1
3,872,Turn Right,1
3,889,Turn Right,1
3,889,Accelerate,1
3,906,Turn Right,1
3,906,Accelerate,1
3,921,Turn Right,1
3,922,Accelerate,1
3,938,Turn Right,1
3,939,Accelerate,1
3,957,Turn Right,1
