Timestamp, Event, Value
0,000,Accelerate,1
6,096,Damage taken,1
6,145,Turn Left,1
6,162,Turn Left,1
6,612,Turn Right,1
6,629,Turn Right,1
6,645,Turn Right,1
6,662,Turn Right,1
6,679,Turn Right,1
6,696,Turn Right,1
6,696,Accelerate,1
6,712,Turn Right,1
6,712,Accelerate,1
6,729,Turn Right,1
6,730,Accelerate,1
6,745,Turn Right,1
6,746,Accelerate,1
6,763,Turn Right,1
6,763,Accelerate,1
6,779,Turn Right,1
6,779,Accelerate,1
6,797,Turn Right,1
6,797,Accelerate,1
6,813,Turn Right,1
6,813,Accelerate,1
6,830,Accelerate,1
6,845,Accelerate,1
6,862,Accelerate,1
6,879,Accelerate,1
6,896,Accelerate,1
6,912,Accelerate,1
6,929,Accelerate,1
6,946,Accelerate,1
6,962,Accelerate,1
6,979,Accelerate,1
6,997,Accelerate,1
7,012,Accelerate,1
7,030,Turn Left,1
7,030,Accelerate,1
7,047,Turn Left,1
7,047,Accelerate,1
7,062,Turn Left,1
7,062,Accelerate,1
7,079,Turn Left,1
7,079,Accelerate,1
7,096,Turn Left,1
7,096,Accelerate,1
7,112,Turn Left,1
7,112,Accelerate,1
7,129,Turn Left,1
7,129,Accelerate,1
7,145,Turn Left,1
7,145,Accelerate,1
7,162,Turn Right,1
7,162,Accelerate,1
7,179,Turn Right,1
7,179,Accelerate,1
7,197,Turn Right,1
7,197,Accelerate,1
7,212,Turn Right,1
7,212,Accelerate,1
7,230,Turn Right,1
7,230,Accelerate,1
7,247,Turn Right,1
7,247,Accelerate,1
7,262,Turn Right,1
7,262,Accelerate,1
7,279,Turn Right,1
7,279,Accelerate,1
7,296,Turn Right,1
7,296,Accelerate,1
7,312,Turn Right,1
7,312,Accelerate,1
7,329,Turn Right,1
7,329,Accelerate,1
7,345,Turn Right,1
7,345,Accelerate,1
7,363,Accelerate,1
7,380,Accelerate,1
7,395,Accelerate,1
7,414,Turn Left,1
7,414,Accelerate,1
7,429,Turn Left,1
7,429,Accelerate,1
7,447,Turn Left,1
7,447,Accelerate,1
7,463,Turn Left,1
7,463,Accelerate,1
7,479,Damage taken,1
7,480,Turn Left,1
7,480,Accelerate,1
7,496,Turn Left,1
7,496,Accelerate,1
7,513,Turn Left,1
7,513,Accelerate,1
7,529,Turn Left,1
7,529,Accelerate,1
7,546,Turn Left,1
7,547,Accelerate,1
7,563,Accelerate,1
7,579,Accelerate,1
7,596,Accelerate,1
7,612,Accelerate,1
7,629,Accelerate,1
7,645,Accelerate,1
7,662,Accelerate,1
7,679,Accelerate,1
7,696,Accelerate,1
7,713,Turn Left,1
7,713,Accelerate,1
7,729,Turn Left,1
7,729,Accelerate,1
7,746,Turn Left,1
7,746,Accelerate,1
7,762,Turn Left,1
7,762,Accelerate,1
7,779,Turn Left,1
7,779,Accelerate,1
7,797,Turn Left,1
7,797,Accelerate,1
7,812,Turn Left,1
7,812,Accelerate,1
7,829,Turn Left,1
7,829,Accelerate,1
7,845,Turn Left,1
7,845,Accelerate,1
7,862,Turn Left,1
7,862,Accelerate,1
7,879,Turn Left,1
7,879,Accelerate,1
7,896,Turn Left,1
7,896,Accelerate,1
7,912,Turn Left,1
7,912,Accelerate,1
7,929,Turn Left,1
7,930,Accelerate,1
7,945,Turn Left,1
7,945,Accelerate,1
7,962,Accelerate,1
7,979,Accelerate,1
7,996,Accelerate,1
8,013,Accelerate,1
8,030,Accelerate,1
8,047,Accelerate,1
8,063,Accelerate,1
8,080,Accelerate,1
8,096,Turn Right,1
8,096,Accelerate,1
8,112,Turn Right,1
8,112,Accelerate,1
8,129,Turn Right,1
8,129,Accelerate,1
8,146,Turn Right,1
8,147,Accelerate,1
8,162,Turn Right,1
8,162,Accelerate,1
8,180,Turn Right,1
8,180,Accelerate,1
8,195,Turn Right,1
8,195,Accelerate,1
8,212,Turn Right,1
