Timestamp, Event, Value
1,082,Bullet Fired,1
1,171,Bullet Fired,1
1,271,Bullet Fired,1
1,371,Bullet Fired,1
1,471,Bullet Fired,1
1,521,Damage taken,0,025000002
1,539,Damage taken,0,025000002
1,555,Damage taken,0,025000002
1,570,Damage taken,0,025000002
1,587,Damage taken,0,025000002
1,605,Damage taken,0,025000002
1,620,Damage taken,0,024900999
1,639,Damage taken,0,025000002
1,654,Damage taken,0,025000002
1,671,Damage taken,0,025000002
1,688,Damage taken,0,025000002
1,705,Damage taken,0,025000002
1,721,Damage taken,0,025000002
1,738,Damage taken,0,025000002
1,754,Damage taken,0,025000002
1,771,Damage taken,0,025000002
1,789,Damage taken,0,025000002
1,805,Damage taken,0,025000002
1,822,Damage taken,0,025000002
1,837,Damage taken,0,025000002
1,854,Damage taken,0,025000002
1,872,Damage taken,0,025000002
1,888,Damage taken,0,025000002
1,905,Damage taken,0,025000002
1,921,Damage taken,0,025000002
1,937,Damage taken,0,025000002
1,955,Damage taken,0,025000002
1,972,Damage taken,0,025000002
1,988,Damage taken,0,025000002
2,005,Damage taken,0,025000002
2,020,Damage taken,0,025000002
2,039,Damage taken,0,025000002
2,055,Damage taken,0,025000002
2,071,Damage taken,0,025000002
2,088,Damage taken,0,025000002
2,105,Damage taken,0,025000002
2,121,Damage taken,0,025000002
2,152,Damage taken,0,035343997
2,156,Damage taken,0,022916667
2,170,Damage taken,0,022916667
2,188,Damage taken,0,022916667
2,205,Damage taken,0,022916667
2,222,Damage taken,0,025000002
2,238,Damage taken,0,024617333
2,254,Damage taken,0,024469499
2,272,Damage taken,0,025000002
2,289,Damage taken,0,025000002
2,304,Damage taken,0,023872001
2,322,Damage taken,0,025000002
2,338,Damage taken,0,025000002
2,354,Damage taken,0,0248095
2,371,Damage taken,0,025000002
2,388,Damage taken,0,025000002
2,404,Damage taken,0,025000002
2,421,Damage taken,0,025000002
2,440,Damage taken,0,025000002
2,455,Damage taken,0,025000002
2,472,Damage taken,0,025000002
2,488,Damage taken,0,025000002
2,504,Damage taken,0,025000002
2,521,Damage taken,0,025000002
2,538,Damage taken,0,025000002
2,555,Bullet Missed,1
2,556,Damage taken,0,025000002
2,571,Damage taken,0,025000002
2,588,Damage taken,0,025000002
2,604,Damage taken,0,025000002
2,622,Damage taken,0,025000002
2,638,Damage taken,0,025000002
2,655,Damage taken,0,025000002
2,671,Damage taken,0,025000002
2,689,Damage taken,0,025000002
2,689,Accelerate,1
2,705,Damage taken,0,025000002
2,705,Accelerate,1
2,720,Damage taken,0,025000002
2,720,Accelerate,1
2,737,Damage taken,0,025000002
2,737,Accelerate,1
2,754,Damage taken,0,025000002
2,754,Accelerate,1
2,771,Damage taken,0,025000002
2,771,Accelerate,1
2,788,Damage taken,0,025000002
2,788,Accelerate,1
2,804,Damage taken,0,025000002
2,805,Accelerate,1
2,822,Damage taken,0,025000002
2,822,Accelerate,1
2,838,Damage taken,0,025000002
2,838,Accelerate,1
2,854,Damage taken,0,025000002
2,854,Accelerate,1
2,871,Damage taken,0,025000002
2,871,Accelerate,1
2,888,Damage taken,0,025000002
2,888,Accelerate,1
2,904,Damage taken,0,025000002
2,904,Accelerate,1
2,921,Damage taken,0,025000002
2,921,Accelerate,1
2,938,Damage taken,0,025000002
2,938,Accelerate,1
2,954,Damage taken,0,025000002
2,954,Accelerate,1
2,972,Damage taken,0,025000002
2,972,Accelerate,1
2,988,Damage taken,0,025000002
2,988,Accelerate,1
3,004,Bullet Missed,1
3,005,Damage taken,0,025000002
3,005,Accelerate,1
3,022,Damage taken,0,025000002
3,022,Accelerate,1
3,038,Damage taken,0,025000002
3,038,Accelerate,1
3,054,Damage taken,0,025000002
3,054,Accelerate,1
3,071,Damage taken,0,025000002
3,072,Accelerate,1
3,087,Damage taken,0,025000002
3,087,Accelerate,1
3,105,Accelerate,1
3,121,Accelerate,1
3,138,Accelerate,1
3,154,Accelerate,1
3,172,Accelerate,1
3,188,Accelerate,1
3,204,Accelerate,1
3,222,Accelerate,1
3,237,Accelerate,1
3,255,Accelerate,1
3,270,Accelerate,1
3,288,Accelerate,1
3,304,Accelerate,1
3,322,Accelerate,1
3,338,Accelerate,1
3,572,Bullet Missed,1
3,623,Accelerate,1
3,638,Accelerate,1
3,654,Accelerate,1
3,670,Accelerate,1
3,687,Accelerate,1
3,704,Accelerate,1
3,722,Accelerate,1
3,737,Accelerate,1
3,754,Accelerate,1
3,771,Accelerate,1
3,788,Accelerate,1
3,804,Accelerate,1
3,822,Accelerate,1
3,838,Accelerate,1
3,857,Accelerate,1
3,871,Accelerate,1
3,887,Accelerate,1
3,904,Accelerate,1
3,922,Bullet Missed,1
3,922,Accelerate,1
3,938,Accelerate,1
3,954,Accelerate,1
3,971,Accelerate,1
3,988,Accelerate,1
4,004,Accelerate,1
4,021,Accelerate,1
4,271,Bullet Missed,1
4,573,Accelerate,1
4,588,Accelerate,1
4,605,Accelerate,1
4,621,Accelerate,1
4,637,Accelerate,1
4,654,Accelerate,1
4,789,Accelerate,1
4,805,Accelerate,1
4,820,Accelerate,1
4,837,Accelerate,1
4,955,Accelerate,1
4,972,Accelerate,1
4,987,Accelerate,1
5,004,Accelerate,1
5,022,Accelerate,1
5,037,Accelerate,1
5,138,Turn Right,1
5,154,Turn Right,1
5,171,Turn Right,1
5,188,Turn Right,1
5,204,Turn Right,1
5,222,Turn Right,1
5,237,Turn Right,1
5,254,Turn Right,1
5,272,Turn Right,1
5,571,Turn Right,1
5,588,Turn Right,1
5,605,Turn Right,1
5,621,Turn Right,1
5,621,Accelerate,1
5,637,Turn Right,1
5,637,Accelerate,1
5,655,Accelerate,1
5,671,Accelerate,1
5,687,Accelerate,1
5,704,Accelerate,1
5,721,Accelerate,1
5,738,Accelerate,1
5,754,Accelerate,1
5,771,Accelerate,1
5,787,Accelerate,1
5,805,Accelerate,1
5,822,Accelerate,1
5,838,Accelerate,1
5,857,Accelerate,1
5,871,Accelerate,1
5,888,Accelerate,1
5,904,Accelerate,1
5,921,Accelerate,1
5,938,Accelerate,1
5,954,Accelerate,1
5,971,Accelerate,1
5,988,Accelerate,1
6,005,Accelerate,1
6,021,Accelerate,1
6,038,Accelerate,1
6,055,Accelerate,1
6,071,Accelerate,1
6,088,Accelerate,1
6,104,Accelerate,1
6,122,Accelerate,1
6,137,Accelerate,1
6,155,Accelerate,1
6,172,Accelerate,1
6,187,Accelerate,1
6,204,Accelerate,1
6,220,Accelerate,1
6,238,Accelerate,1
6,254,Turn Left,1
6,254,Accelerate,1
6,273,Turn Left,1
6,287,Turn Left,1
6,304,Turn Left,1
6,323,Turn Left,1
6,338,Turn Left,1
6,355,Turn Left,1
6,370,Turn Left,1
6,388,Turn Left,1
6,404,Turn Left,1
6,421,Turn Left,1
6,505,Turn Left,1
6,521,Turn Left,1
6,538,Accelerate,1
6,555,Accelerate,1
6,571,Accelerate,1
6,588,Accelerate,1
6,707,Bullet Fired,1
6,805,Bullet Fired,1
6,873,Accelerate,1
6,887,Accelerate,1
6,905,Bullet Fired,1
6,905,Accelerate,1
6,921,Accelerate,1
6,937,Accelerate,1
6,955,Accelerate,1
6,971,Accelerate,1
6,988,Accelerate,1
7,004,Accelerate,1
7,020,Accelerate,1
