Timestamp, Event, Value
0.000,Accelerate,1
0.098,Enemy killed,1
0.109,Enemy killed,1
0.124,Enemy killed,1
0.142,Enemy killed,1
0.158,Enemy killed,1
0.195,Enemy killed,1
0.196,Enemy killed,1
0.204,Enemy killed,1
0.205,Enemy killed,1
0.213,Enemy killed,1
0.213,Enemy killed,1
0.223,Enemy killed,1
0.224,Enemy killed,1
0.244,Enemy killed,1
0.245,Enemy killed,1
0.260,Enemy killed,1
0.261,Enemy killed,1
0.279,Enemy killed,1
0.280,Enemy killed,1
0.294,Enemy killed,1
0.295,Enemy killed,1
0.312,Enemy killed,1
0.322,Enemy killed,1
0.335,Enemy killed,1
0.336,Enemy killed,1
0.346,Enemy killed,1
0.347,Enemy killed,1
0.358,Enemy killed,1
0.358,Enemy killed,1
0.380,Enemy killed,1
0.380,Enemy killed,1
0.393,Enemy killed,1
0.394,Enemy killed,1
0.411,Enemy killed,1
0.411,Enemy killed,1
0.430,Enemy killed,1
0.430,Enemy killed,1
0.443,Enemy killed,1
0.444,Enemy killed,1
0.444,Enemy killed,1
0.462,Enemy killed,1
0.463,Enemy killed,1
0.463,Enemy killed,1
0.474,Enemy killed,1
0.474,Enemy killed,1
0.475,Enemy killed,1
0.493,Enemy killed,1
0.494,Enemy killed,1
0.494,Enemy killed,1
0.513,Enemy killed,1
0.513,Enemy killed,1
0.514,Enemy killed,1
0.528,Enemy killed,1
0.528,Enemy killed,1
0.529,Enemy killed,1
0.545,Enemy killed,1
0.546,Enemy killed,1
0.546,Enemy killed,1
0.563,Enemy killed,1
0.563,Enemy killed,1
0.564,Enemy killed,1
0.578,Enemy killed,1
0.579,Enemy killed,1
0.579,Enemy killed,1
0.594,Enemy killed,1
0.594,Enemy killed,1
0.594,Enemy killed,1
0.613,Enemy killed,1
0.613,Enemy killed,1
0.614,Enemy killed,1
0.629,Enemy killed,1
0.629,Enemy killed,1
0.629,Enemy killed,1
0.645,Enemy killed,1
0.646,Enemy killed,1
0.646,Enemy killed,1
0.661,Enemy killed,1
0.662,Enemy killed,1
0.662,Enemy killed,1
0.678,Enemy killed,1
0.679,Enemy killed,1
0.679,Enemy killed,1
0.695,Enemy killed,1
0.695,Enemy killed,1
0.696,Enemy killed,1
0.713,Enemy killed,1
0.713,Enemy killed,1
0.713,Enemy killed,1
0.728,Enemy killed,1
0.729,Enemy killed,1
0.729,Enemy killed,1
0.745,Enemy killed,1
0.746,Enemy killed,1
0.747,Enemy killed,1
0.767,Enemy killed,1
0.767,Enemy killed,1
0.767,Enemy killed,1
0.779,Enemy killed,1
0.780,Enemy killed,1
0.780,Enemy killed,1
0.794,Enemy killed,1
0.794,Enemy killed,1
0.794,Enemy killed,1
0.812,Enemy killed,1
0.812,Enemy killed,1
0.813,Enemy killed,1
0.824,Enemy killed,1
0.824,Enemy killed,1
0.824,Enemy killed,1
0.845,Enemy killed,1
0.845,Enemy killed,1
0.846,Enemy killed,1
0.862,Enemy killed,1
0.863,Enemy killed,1
0.863,Enemy killed,1
0.885,Enemy killed,1
0.886,Enemy killed,1
0.886,Enemy killed,1
0.899,Enemy killed,1
0.903,Enemy killed,1
0.904,Enemy killed,1
0.918,Enemy killed,1
0.919,Enemy killed,1
0.920,Enemy killed,1
0.921,Enemy killed,1
0.937,Enemy killed,1
0.938,Enemy killed,1
0.938,Enemy killed,1
0.938,Enemy killed,1
0.951,Enemy killed,1
0.952,Enemy killed,1
0.952,Enemy killed,1
0.953,Enemy killed,1
0.970,Enemy killed,1
0.971,Enemy killed,1
0.972,Enemy killed,1
0.972,Enemy killed,1
0.985,Enemy killed,1
0.986,Enemy killed,1
0.988,Enemy killed,1
0.988,Enemy killed,1
1.000,Enemy killed,1
1.000,Enemy killed,1
1.001,Enemy killed,1
1.001,Enemy killed,1
1.013,Enemy killed,1
1.013,Enemy killed,1
1.014,Enemy killed,1
1.014,Enemy killed,1
1.030,Enemy killed,1
1.031,Enemy killed,1
1.032,Enemy killed,1
1.033,Enemy killed,1
1.056,Enemy killed,1
1.057,Enemy killed,1
1.058,Enemy killed,1
1.059,Enemy killed,1
1.079,Enemy killed,1
1.080,Enemy killed,1
1.080,Enemy killed,1
1.081,Enemy killed,1
1.096,Enemy killed,1
1.097,Enemy killed,1
1.097,Enemy killed,1
1.098,Enemy killed,1
1.110,Enemy killed,1
1.110,Enemy killed,1
1.111,Enemy killed,1
1.111,Enemy killed,1
1.123,Enemy killed,1
1.124,Enemy killed,1
1.124,Enemy killed,1
1.125,Enemy killed,1
1.125,Enemy killed,1
1.137,Enemy killed,1
1.138,Enemy killed,1
1.138,Enemy killed,1
1.138,Enemy killed,1
1.139,Enemy killed,1
1.152,Enemy killed,1
1.153,Enemy killed,1
1.153,Enemy killed,1
1.153,Enemy killed,1
1.154,Enemy killed,1
1.170,Enemy killed,1
1.170,Enemy killed,1
1.171,Enemy killed,1
1.172,Enemy killed,1
1.173,Enemy killed,1
1.191,Enemy killed,1
1.192,Enemy killed,1
1.192,Enemy killed,1
1.193,Enemy killed,1
1.193,Enemy killed,1
1.194,Enemy killed,1
1.206,Enemy killed,1
1.206,Enemy killed,1
1.207,Enemy killed,1
1.207,Enemy killed,1
1.208,Enemy killed,1
1.208,Enemy killed,1
1.219,Enemy killed,1
1.220,Enemy killed,1
1.220,Enemy killed,1
1.221,Enemy killed,1
1.221,Enemy killed,1
1.222,Enemy killed,1
1.222,Enemy killed,1
1.234,Enemy killed,1
1.234,Enemy killed,1
1.234,Enemy killed,1
1.235,Enemy killed,1
1.235,Enemy killed,1
1.236,Enemy killed,1
1.236,Enemy killed,1
1.247,Enemy killed,1
1.248,Enemy killed,1
1.248,Enemy killed,1
1.249,Enemy killed,1
1.249,Enemy killed,1
1.249,Enemy killed,1
1.250,Enemy killed,1
1.262,Enemy killed,1
1.262,Enemy killed,1
1.263,Enemy killed,1
1.263,Enemy killed,1
1.264,Enemy killed,1
1.264,Enemy killed,1
1.264,Enemy killed,1
1.280,Enemy killed,1
1.281,Enemy killed,1
1.282,Enemy killed,1
1.282,Enemy killed,1
1.283,Enemy killed,1
1.283,Enemy killed,1
1.283,Enemy killed,1
1.298,Enemy killed,1
1.298,Enemy killed,1
1.299,Enemy killed,1
1.299,Enemy killed,1
1.300,Enemy killed,1
1.300,Enemy killed,1
1.301,Enemy killed,1
1.313,Enemy killed,1
1.314,Enemy killed,1
1.315,Enemy killed,1
1.315,Enemy killed,1
1.316,Enemy killed,1
1.316,Enemy killed,1
1.317,Enemy killed,1
1.334,Enemy killed,1
1.334,Enemy killed,1
1.335,Enemy killed,1
1.335,Enemy killed,1
1.336,Enemy killed,1
1.336,Enemy killed,1
1.336,Enemy killed,1
1.337,Enemy killed,1
1.348,Enemy killed,1
1.349,Enemy killed,1
1.349,Enemy killed,1
1.350,Enemy killed,1
1.350,Enemy killed,1
1.350,Enemy killed,1
1.351,Enemy killed,1
1.351,Enemy killed,1
1.363,Enemy killed,1
1.363,Enemy killed,1
1.364,Enemy killed,1
1.364,Enemy killed,1
1.364,Enemy killed,1
1.365,Enemy killed,1
1.365,Enemy killed,1
1.366,Enemy killed,1
1.366,Enemy killed,1
1.379,Enemy killed,1
1.380,Enemy killed,1
1.380,Enemy killed,1
1.380,Enemy killed,1
1.381,Enemy killed,1
1.381,Enemy killed,1
1.382,Enemy killed,1
1.382,Enemy killed,1
1.383,Enemy killed,1
1.394,Enemy killed,1
1.395,Enemy killed,1
1.395,Enemy killed,1
1.395,Enemy killed,1
1.396,Enemy killed,1
1.396,Enemy killed,1
1.397,Enemy killed,1
1.397,Enemy killed,1
1.397,Enemy killed,1
1.412,Enemy killed,1
1.413,Enemy killed,1
1.413,Enemy killed,1
1.413,Enemy killed,1
1.414,Enemy killed,1
1.414,Enemy killed,1
1.415,Enemy killed,1
1.415,Enemy killed,1
1.415,Enemy killed,1
1.427,Enemy killed,1
1.427,Enemy killed,1
1.427,Enemy killed,1
1.428,Enemy killed,1
1.428,Enemy killed,1
1.429,Enemy killed,1
1.429,Enemy killed,1
1.429,Enemy killed,1
1.430,Enemy killed,1
1.430,Enemy killed,1
1.443,Enemy killed,1
1.443,Enemy killed,1
1.444,Enemy killed,1
1.444,Enemy killed,1
1.445,Enemy killed,1
1.445,Enemy killed,1
1.445,Enemy killed,1
1.446,Enemy killed,1
1.446,Enemy killed,1
1.447,Enemy killed,1
1.462,Enemy killed,1
1.462,Enemy killed,1
1.462,Enemy killed,1
1.463,Enemy killed,1
1.463,Enemy killed,1
1.464,Enemy killed,1
1.464,Enemy killed,1
1.464,Enemy killed,1
1.465,Enemy killed,1
1.465,Enemy killed,1
1.478,Enemy killed,1
1.478,Enemy killed,1
1.479,Enemy killed,1
1.479,Enemy killed,1
1.479,Enemy killed,1
1.480,Enemy killed,1
1.480,Enemy killed,1
1.481,Enemy killed,1
1.481,Enemy killed,1
1.481,Enemy killed,1
1.496,Enemy killed,1
1.497,Enemy killed,1
1.497,Enemy killed,1
1.498,Enemy killed,1
1.498,Enemy killed,1
1.498,Enemy killed,1
1.499,Enemy killed,1
1.499,Enemy killed,1
1.500,Enemy killed,1
1.500,Enemy killed,1
1.518,Enemy killed,1
1.518,Enemy killed,1
1.519,Enemy killed,1
1.519,Enemy killed,1
1.520,Enemy killed,1
1.520,Enemy killed,1
1.521,Enemy killed,1
1.521,Enemy killed,1
1.522,Enemy killed,1
1.522,Enemy killed,1
1.536,Enemy killed,1
1.537,Enemy killed,1
1.538,Enemy killed,1
1.538,Enemy killed,1
1.539,Enemy killed,1
1.539,Enemy killed,1
1.540,Enemy killed,1
1.540,Enemy killed,1
1.540,Enemy killed,1
1.541,Enemy killed,1
1.553,Enemy killed,1
1.553,Enemy killed,1
1.554,Enemy killed,1
1.554,Enemy killed,1
1.555,Enemy killed,1
1.555,Enemy killed,1
1.556,Enemy killed,1
1.556,Enemy killed,1
1.556,Enemy killed,1
1.557,Enemy killed,1
1.574,Enemy killed,1
1.575,Enemy killed,1
1.575,Enemy killed,1
1.576,Enemy killed,1
1.576,Enemy killed,1
1.576,Enemy killed,1
1.577,Enemy killed,1
1.577,Enemy killed,1
1.578,Enemy killed,1
1.579,Enemy killed,1
1.595,Enemy killed,1
1.596,Enemy killed,1
1.597,Enemy killed,1
1.597,Enemy killed,1
1.598,Enemy killed,1
1.598,Enemy killed,1
1.600,Enemy killed,1
1.600,Enemy killed,1
1.601,Enemy killed,1
1.601,Enemy killed,1
1.616,Enemy killed,1
1.616,Enemy killed,1
1.617,Enemy killed,1
1.618,Enemy killed,1
1.618,Enemy killed,1
1.619,Enemy killed,1
1.619,Enemy killed,1
1.620,Enemy killed,1
1.620,Enemy killed,1
1.621,Enemy killed,1
1.636,Enemy killed,1
1.637,Enemy killed,1
1.637,Enemy killed,1
1.638,Enemy killed,1
1.638,Enemy killed,1
1.639,Enemy killed,1
1.639,Enemy killed,1
1.640,Enemy killed,1
1.640,Enemy killed,1
1.642,Enemy killed,1
1.659,Enemy killed,1
1.659,Enemy killed,1
