Timestamp, Event, Value
0,166,Accelerate,1
0,181,Accelerate,1
0,198,Accelerate,1
0,214,Accelerate,1
0,232,Accelerate,1
0,248,Accelerate,1
0,265,Accelerate,1
0,281,Accelerate,1
0,298,Accelerate,1
0,314,Accelerate,1
0,331,Accelerate,1
0,349,Accelerate,1
0,364,Accelerate,1
0,383,Accelerate,1
0,398,Accelerate,1
0,416,Accelerate,1
0,432,Accelerate,1
0,448,Accelerate,1
0,465,Accelerate,1
0,481,Accelerate,1
0,499,Accelerate,1
0,516,Accelerate,1
0,531,Accelerate,1
0,549,Accelerate,1
0,565,Accelerate,1
0,582,Accelerate,1
0,598,Accelerate,1
0,615,Accelerate,1
0,632,Accelerate,1
0,648,Accelerate,1
0,665,Accelerate,1
0,682,Accelerate,1
0,699,Accelerate,1
0,714,Accelerate,1
0,731,Accelerate,1
0,748,Accelerate,1
0,765,Accelerate,1
0,781,Accelerate,1
0,798,Turn Left,1
0,799,Accelerate,1
0,815,Turn Left,1
0,815,Accelerate,1
0,831,Turn Left,1
0,831,Accelerate,1
0,848,Turn Left,1
0,848,Accelerate,1
0,866,Turn Left,1
0,866,Accelerate,1
0,881,Turn Left,1
0,881,Accelerate,1
0,898,Turn Left,1
0,898,Accelerate,1
0,916,Turn Left,1
0,916,Accelerate,1
0,931,Turn Left,1
0,931,Accelerate,1
0,949,Turn Left,1
0,949,Accelerate,1
0,965,Turn Left,1
0,965,Accelerate,1
0,983,Accelerate,1
0,999,Accelerate,1
1,015,Accelerate,1
1,031,Accelerate,1
1,049,Accelerate,1
1,065,Accelerate,1
1,082,Accelerate,1
1,099,Accelerate,1
1,115,Accelerate,1
1,131,Accelerate,1
1,148,Accelerate,1
1,165,Accelerate,1
1,181,Accelerate,1
1,199,Accelerate,1
1,215,Accelerate,1
1,231,Accelerate,1
1,248,Accelerate,1
1,264,Accelerate,1
1,281,Accelerate,1
1,298,Accelerate,1
1,316,Accelerate,1
1,331,Accelerate,1
1,349,Accelerate,1
1,365,Accelerate,1
1,382,Accelerate,1
1,399,Accelerate,1
1,415,Turn Left,1
1,415,Accelerate,1
1,431,Turn Left,1
1,432,Accelerate,1
1,448,Turn Left,1
1,448,Accelerate,1
1,466,Turn Left,1
1,466,Accelerate,1
1,482,Turn Left,1
1,482,Accelerate,1
1,498,Turn Left,1
1,498,Accelerate,1
1,516,Turn Right,1
1,516,Accelerate,1
1,532,Turn Right,1
1,532,Accelerate,1
1,548,Turn Right,1
1,548,Accelerate,1
1,565,Turn Right,1
1,565,Accelerate,1
1,582,Turn Right,1
1,582,Accelerate,1
1,599,Turn Right,1
1,599,Accelerate,1
1,615,Turn Right,1
1,615,Accelerate,1
1,632,Turn Right,1
1,632,Accelerate,1
1,649,Accelerate,1
1,665,Accelerate,1
1,681,Accelerate,1
1,698,Accelerate,1
1,715,Accelerate,1
1,732,Accelerate,1
1,749,Accelerate,1
1,765,Accelerate,1
1,782,Accelerate,1
1,798,Accelerate,1
