Timestamp, Event, Value
0.772,Accelerate,1
0.788,Accelerate,1
0.804,Accelerate,1
0.822,Accelerate,1
0.838,Accelerate,1
0.855,Accelerate,1
0.872,Accelerate,1
0.888,Accelerate,1
0.904,Accelerate,1
0.921,Accelerate,1
0.938,Accelerate,1
0.955,Accelerate,1
0.971,Accelerate,1
0.988,Accelerate,1
1.005,Accelerate,1
1.021,Accelerate,1
1.038,Accelerate,1
1.055,Accelerate,1
1.071,Accelerate,1
1.088,Accelerate,1
1.105,Accelerate,1
1.122,Accelerate,1
1.138,Accelerate,1
1.155,Accelerate,1
1.172,Accelerate,1
1.187,Accelerate,1
1.204,Accelerate,1
1.221,Accelerate,1
1.237,Turn Left,1
1.238,Accelerate,1
1.254,Turn Left,1
1.254,Accelerate,1
1.271,Turn Left,1
1.271,Accelerate,1
1.288,Turn Left,1
1.288,Accelerate,1
1.305,Turn Left,1
1.305,Accelerate,1
1.321,Turn Left,1
1.321,Accelerate,1
1.338,Turn Left,1
1.338,Accelerate,1
1.355,Turn Left,1
1.355,Accelerate,1
1.372,Turn Left,1
1.372,Accelerate,1
1.388,Turn Left,1
1.388,Accelerate,1
1.405,Turn Left,1
1.405,Accelerate,1
1.421,Accelerate,1
1.438,Accelerate,1
1.455,Accelerate,1
1.470,Accelerate,1
1.487,Accelerate,1
1.755,Turn Right,1
1.772,Turn Right,1
1.788,Turn Right,1
1.804,Turn Right,1
1.821,Turn Right,1
1.838,Turn Right,1
1.854,Turn Right,1
1.871,Turn Right,1
1.888,Turn Right,1
1.905,Turn Right,1
1.921,Turn Right,1
1.938,Turn Right,1
1.955,Turn Right,1
1.971,Turn Right,1
1.988,Turn Right,1
2.005,Turn Right,1
2.021,Turn Right,1
2.071,Turn Left,1
2.088,Turn Left,1
2.105,Turn Left,1
2.120,Turn Left,1
2.138,Turn Left,1
2.154,Turn Left,1
2.171,Turn Left,1
2.188,Turn Left,1
2.204,Turn Left,1
2.221,Turn Left,1
2.238,Turn Left,1
2.254,Turn Left,1
2.271,Turn Left,1
2.338,Turn Right,1
2.355,Turn Right,1
2.372,Turn Right,1
2.388,Turn Right,1
2.404,Turn Right,1
2.421,Turn Right,1
2.437,Turn Right,1
2.454,Turn Right,1
2.470,Turn Right,1
2.488,Turn Right,1
2.504,Turn Right,1
2.520,Turn Right,1
2.537,Turn Right,1
2.571,Accelerate,1
2.588,Accelerate,1
2.605,Accelerate,1
2.621,Accelerate,1
2.638,Accelerate,1
2.655,Accelerate,1
2.672,Accelerate,1
2.688,Accelerate,1
2.705,Accelerate,1
