Timestamp, Event, Value
0.249,Accelerate,1
0.266,Accelerate,1
0.282,Accelerate,1
0.299,Accelerate,1
0.315,Accelerate,1
0.332,Accelerate,1
0.349,Accelerate,1
0.365,Accelerate,1
0.382,Accelerate,1
0.399,Accelerate,1
0.416,Accelerate,1
0.432,Accelerate,1
0.449,Accelerate,1
0.465,Accelerate,1
0.482,Accelerate,1
0.498,Accelerate,1
0.515,Accelerate,1
0.532,Accelerate,1
0.982,Accelerate,1
0.998,Accelerate,1
1.015,Accelerate,1
1.033,Accelerate,1
1.049,Accelerate,1
1.065,Accelerate,1
1.082,Accelerate,1
1.099,Accelerate,1
1.115,Accelerate,1
1.132,Accelerate,1
1.149,Accelerate,1
1.166,Accelerate,1
1.182,Accelerate,1
1.199,Accelerate,1
1.216,Accelerate,1
1.232,Accelerate,1
1.249,Accelerate,1
1.266,Accelerate,1
1.282,Accelerate,1
1.298,Accelerate,1
1.315,Accelerate,1
1.332,Accelerate,1
1.349,Accelerate,1
1.366,Accelerate,1
1.383,Accelerate,1
1.399,Accelerate,1
1.415,Accelerate,1
1.432,Accelerate,1
1.449,Accelerate,1
1.466,Accelerate,1
1.482,Accelerate,1
1.499,Accelerate,1
1.515,Accelerate,1
1.533,Accelerate,1
1.549,Accelerate,1
1.565,Accelerate,1
1.582,Accelerate,1
1.598,Accelerate,1
1.617,Accelerate,1
1.632,Accelerate,1
1.648,Accelerate,1
1.665,Accelerate,1
1.682,Accelerate,1
1.699,Accelerate,1
1.715,Accelerate,1
1.732,Accelerate,1
1.749,Accelerate,1
1.765,Accelerate,1
1.782,Accelerate,1
1.799,Accelerate,1
1.815,Accelerate,1
1.832,Accelerate,1
1.849,Accelerate,1
1.865,Accelerate,1
1.882,Accelerate,1
1.899,Accelerate,1
1.916,Accelerate,1
1.932,Accelerate,1
1.949,Accelerate,1
1.965,Accelerate,1
1.982,Accelerate,1
1.999,Accelerate,1
2.016,Accelerate,1
2.033,Accelerate,1
2.049,Accelerate,1
2.066,Accelerate,1
2.081,Accelerate,1
2.099,Accelerate,1
2.115,Accelerate,1
2.131,Accelerate,1
2.148,Accelerate,1
2.166,Accelerate,1
2.182,Accelerate,1
2.199,Accelerate,1
2.216,Accelerate,1
2.232,Accelerate,1
2.249,Accelerate,1
2.265,Accelerate,1
2.282,Accelerate,1
2.298,Accelerate,1
2.315,Accelerate,1
2.332,Accelerate,1
2.349,Accelerate,1
2.365,Accelerate,1
2.382,Accelerate,1
2.399,Accelerate,1
2.415,Accelerate,1
2.432,Accelerate,1
2.448,Accelerate,1
2.466,Accelerate,1
2.482,Accelerate,1
2.499,Accelerate,1
2.516,Accelerate,1
2.533,Accelerate,1
2.549,Accelerate,1
2.565,Accelerate,1
2.582,Accelerate,1
2.598,Accelerate,1
2.615,Accelerate,1
2.632,Accelerate,1
2.648,Accelerate,1
2.665,Accelerate,1
2.682,Accelerate,1
2.699,Accelerate,1
2.715,Accelerate,1
2.732,Accelerate,1
2.748,Accelerate,1
2.765,Accelerate,1
