Timestamp, Event, Value
0.493,Accelerate,1
0.508,Accelerate,1
0.525,Accelerate,1
0.542,Accelerate,1
0.558,Accelerate,1
0.576,Accelerate,1
0.592,Accelerate,1
0.609,Accelerate,1
0.625,Accelerate,1
0.643,Accelerate,1
0.659,Accelerate,1
0.676,Accelerate,1
0.693,Accelerate,1
0.709,Accelerate,1
0.725,Accelerate,1
0.742,Accelerate,1
0.759,Accelerate,1
0.776,Accelerate,1
0.792,Accelerate,1
0.809,Accelerate,1
0.824,Accelerate,1
0.842,Accelerate,1
0.858,Accelerate,1
0.876,Accelerate,1
0.891,Accelerate,1
0.909,Accelerate,1
0.925,Accelerate,1
0.942,Accelerate,1
0.958,Accelerate,1
0.976,Accelerate,1
0.992,Accelerate,1
1.009,Accelerate,1
1.025,Accelerate,1
1.642,Accelerate,1
1.658,Accelerate,1
1.676,Accelerate,1
1.691,Accelerate,1
1.709,Accelerate,1
1.724,Accelerate,1
1.742,Accelerate,1
1.759,Accelerate,1
1.776,Accelerate,1
2.391,Accelerate,1
2.408,Accelerate,1
2.424,Accelerate,1
2.442,Accelerate,1
2.460,Accelerate,1
2.475,Accelerate,1
2.492,Accelerate,1
2.510,Accelerate,1
2.526,Accelerate,1
2.542,Accelerate,1
2.560,Accelerate,1
2.575,Accelerate,1
2.592,Accelerate,1
2.608,Accelerate,1
2.625,Accelerate,1
2.643,Accelerate,1
2.659,Accelerate,1
2.675,Accelerate,1
2.692,Accelerate,1
2.708,Accelerate,1
2.908,Accelerate,1
2.926,Accelerate,1
2.941,Accelerate,1
2.958,Accelerate,1
2.976,Accelerate,1
2.991,Accelerate,1
3.008,Accelerate,1
3.025,Accelerate,1
3.226,Accelerate,1
3.241,Accelerate,1
3.259,Accelerate,1
3.276,Accelerate,1
3.291,Accelerate,1
3.710,Accelerate,1
3.725,Accelerate,1
3.743,Accelerate,1
3.759,Accelerate,1
3.774,Accelerate,1
3.791,Accelerate,1
3.809,Accelerate,1
3.826,Accelerate,1
3.841,Accelerate,1
3.859,Accelerate,1
3.874,Accelerate,1
3.893,Accelerate,1
3.909,Accelerate,1
4.043,Accelerate,1
4.059,Accelerate,1
4.076,Accelerate,1
4.092,Accelerate,1
4.109,Accelerate,1
4.126,Accelerate,1
4.142,Accelerate,1
4.159,Accelerate,1
4.176,Accelerate,1
4.193,Accelerate,1
4.209,Accelerate,1
4.226,Accelerate,1
4.242,Accelerate,1
4.259,Accelerate,1
4.276,Accelerate,1
4.659,Accelerate,1
4.676,Accelerate,1
4.692,Accelerate,1
4.709,Accelerate,1
4.725,Accelerate,1
4.742,Accelerate,1
4.760,Accelerate,1
4.776,Accelerate,1
4.792,Accelerate,1
4.809,Accelerate,1
4.824,Accelerate,1
4.842,Accelerate,1
4.859,Accelerate,1
4.875,Accelerate,1
5.327,Accelerate,1
5.342,Accelerate,1
5.359,Accelerate,1
5.375,Accelerate,1
5.393,Accelerate,1
6.294,Accelerate,1
6.309,Accelerate,1
6.325,Accelerate,1
6.342,Accelerate,1
6.358,Accelerate,1
6.375,Accelerate,1
6.391,Accelerate,1
6.408,Accelerate,1
6.425,Accelerate,1
6.442,Accelerate,1
6.458,Accelerate,1
6.475,Accelerate,1
6.491,Accelerate,1
6.509,Accelerate,1
6.525,Accelerate,1
6.542,Accelerate,1
6.558,Accelerate,1
6.575,Accelerate,1
6.592,Accelerate,1
6.608,Accelerate,1
6.625,Accelerate,1
6.641,Accelerate,1
6.658,Accelerate,1
6.675,Accelerate,1
6.691,Accelerate,1
6.708,Accelerate,1
6.826,Damage taken,1
7.192,Turn Left,1
7.209,Turn Left,1
7.225,Turn Left,1
7.241,Turn Left,1
7.258,Turn Left,1
7.275,Turn Left,1
7.292,Turn Left,1
7.308,Turn Left,1
7.325,Turn Left,1
7.341,Turn Left,1
7.359,Turn Left,1
7.374,Turn Left,1
7.391,Turn Left,1
7.408,Turn Left,1
7.424,Turn Left,1
7.442,Turn Left,1
7.459,Turn Left,1
7.475,Turn Left,1
7.492,Turn Left,1
7.508,Turn Left,1
7.526,Turn Left,1
7.541,Turn Left,1
7.541,Accelerate,1
7.558,Turn Left,1
7.558,Accelerate,1
7.574,Turn Left,1
7.574,Accelerate,1
7.591,Turn Left,1
7.591,Accelerate,1
7.608,Turn Left,1
7.608,Accelerate,1
7.625,Turn Left,1
7.625,Accelerate,1
7.641,Turn Left,1
7.641,Accelerate,1
7.659,Turn Left,1
7.659,Accelerate,1
7.674,Turn Left,1
7.674,Accelerate,1
7.691,Turn Left,1
7.691,Accelerate,1
7.708,Turn Left,1
7.708,Accelerate,1
7.725,Turn Left,1
7.725,Accelerate,1
7.742,Turn Left,1
7.742,Accelerate,1
7.758,Turn Left,1
7.758,Accelerate,1
7.775,Turn Left,1
7.775,Accelerate,1
7.792,Turn Left,1
7.792,Accelerate,1
7.808,Turn Left,1
7.808,Accelerate,1
7.825,Turn Left,1
7.825,Accelerate,1
7.842,Turn Left,1
7.842,Accelerate,1
7.858,Turn Left,1
7.858,Accelerate,1
7.876,Turn Left,1
7.876,Accelerate,1
7.891,Turn Left,1
7.891,Accelerate,1
7.908,Turn Left,1
7.908,Accelerate,1
7.924,Turn Left,1
