Timestamp, Event, Value
0.612,Accelerate,1
0.629,Accelerate,1
0.645,Accelerate,1
0.661,Accelerate,1
0.678,Accelerate,1
0.694,Accelerate,1
0.711,Accelerate,1
0.728,Accelerate,1
0.745,Accelerate,1
0.761,Accelerate,1
0.777,Accelerate,1
0.796,Accelerate,1
0.811,Accelerate,1
0.828,Accelerate,1
0.845,Accelerate,1
0.862,Accelerate,1
0.878,Accelerate,1
0.895,Accelerate,1
0.911,Accelerate,1
0.928,Accelerate,1
0.945,Accelerate,1
0.961,Accelerate,1
0.977,Accelerate,1
0.995,Accelerate,1
1.012,Accelerate,1
1.028,Accelerate,1
1.046,Accelerate,1
1.062,Accelerate,1
1.077,Accelerate,1
1.094,Accelerate,1
1.112,Accelerate,1
1.128,Accelerate,1
1.144,Accelerate,1
1.161,Accelerate,1
1.178,Accelerate,1
1.194,Accelerate,1
1.211,Accelerate,1
1.228,Accelerate,1
1.246,Accelerate,1
1.261,Accelerate,1
2.094,Accelerate,1
2.112,Accelerate,1
2.129,Accelerate,1
2.146,Accelerate,1
2.162,Accelerate,1
2.179,Accelerate,1
2.194,Accelerate,1
2.211,Accelerate,1
2.229,Accelerate,1
2.244,Accelerate,1
2.263,Accelerate,1
2.278,Accelerate,1
2.296,Accelerate,1
2.311,Accelerate,1
2.327,Accelerate,1
2.345,Accelerate,1
2.361,Accelerate,1
2.378,Accelerate,1
2.395,Accelerate,1
2.411,Accelerate,1
2.427,Accelerate,1
2.445,Accelerate,1
2.461,Accelerate,1
2.478,Accelerate,1
2.494,Accelerate,1
2.511,Accelerate,1
2.761,Turn Right,1
2.778,Turn Right,1
2.794,Turn Right,1
2.812,Turn Right,1
2.828,Turn Right,1
2.844,Turn Right,1
2.861,Turn Right,1
2.877,Turn Right,1
2.895,Turn Right,1
2.911,Turn Right,1
2.928,Turn Right,1
2.945,Turn Right,1
3.112,Accelerate,1
3.127,Accelerate,1
3.144,Accelerate,1
3.161,Accelerate,1
3.177,Accelerate,1
3.194,Accelerate,1
3.211,Accelerate,1
3.227,Accelerate,1
3.245,Accelerate,1
3.261,Accelerate,1
3.278,Accelerate,1
3.295,Accelerate,1
3.312,Turn Left,1
3.312,Accelerate,1
3.328,Turn Left,1
3.328,Accelerate,1
3.345,Turn Left,1
3.345,Accelerate,1
3.361,Turn Left,1
3.361,Accelerate,1
3.377,Turn Left,1
3.377,Accelerate,1
3.394,Turn Left,1
3.394,Accelerate,1
3.411,Turn Left,1
3.411,Accelerate,1
3.427,Turn Left,1
3.427,Accelerate,1
3.444,Turn Left,1
3.444,Accelerate,1
3.463,Turn Left,1
3.463,Accelerate,1
3.478,Turn Left,1
3.478,Accelerate,1
3.494,Turn Left,1
3.494,Accelerate,1
3.511,Turn Left,1
3.511,Accelerate,1
3.528,Turn Left,1
3.528,Accelerate,1
3.545,Turn Left,1
3.545,Accelerate,1
3.561,Turn Left,1
3.561,Accelerate,1
3.577,Turn Left,1
3.577,Accelerate,1
3.595,Turn Left,1
3.595,Accelerate,1
3.613,Turn Left,1
3.613,Accelerate,1
3.628,Accelerate,1
3.644,Accelerate,1
4.278,Turn Left,1
4.294,Turn Left,1
4.311,Turn Left,1
4.327,Turn Left,1
4.345,Turn Left,1
4.362,Turn Left,1
4.378,Turn Left,1
4.395,Turn Left,1
4.411,Turn Left,1
4.428,Turn Left,1
4.445,Turn Left,1
4.614,Accelerate,1
4.628,Accelerate,1
4.644,Accelerate,1
4.661,Accelerate,1
4.677,Accelerate,1
4.694,Accelerate,1
4.711,Accelerate,1
4.727,Accelerate,1
4.745,Accelerate,1
4.761,Accelerate,1
4.778,Accelerate,1
4.794,Accelerate,1
4.811,Turn Right,1
4.811,Accelerate,1
4.829,Turn Right,1
4.829,Accelerate,1
4.845,Turn Right,1
4.845,Accelerate,1
4.863,Turn Right,1
4.863,Accelerate,1
4.878,Turn Right,1
4.878,Accelerate,1
4.895,Turn Right,1
4.895,Accelerate,1
4.911,Turn Right,1
4.911,Accelerate,1
4.929,Turn Right,1
4.929,Accelerate,1
4.945,Turn Right,1
4.946,Accelerate,1
4.961,Turn Right,1
4.961,Accelerate,1
4.977,Turn Right,1
4.977,Accelerate,1
4.995,Turn Right,1
4.995,Accelerate,1
5.011,Turn Right,1
5.012,Accelerate,1
5.028,Turn Right,1
5.028,Accelerate,1
5.045,Turn Right,1
5.045,Accelerate,1
5.060,Turn Right,1
5.060,Accelerate,1
5.078,Turn Right,1
5.078,Accelerate,1
5.094,Accelerate,1
5.111,Accelerate,1
5.378,Accelerate,1
5.395,Accelerate,1
5.411,Accelerate,1
5.428,Accelerate,1
5.444,Turn Left,1
5.444,Accelerate,1
5.461,Turn Left,1
5.461,Accelerate,1
5.478,Turn Left,1
5.478,Accelerate,1
5.496,Turn Left,1
5.496,Accelerate,1
5.511,Turn Left,1
5.511,Accelerate,1
5.530,Turn Left,1
5.531,Accelerate,1
5.545,Turn Left,1
5.545,Accelerate,1
5.561,Turn Left,1
5.561,Accelerate,1
5.578,Turn Left,1
5.578,Accelerate,1
5.594,Turn Left,1
5.594,Accelerate,1
5.611,Turn Left,1
5.611,Accelerate,1
5.628,Turn Left,1
5.628,Accelerate,1
5.645,Turn Left,1
5.645,Accelerate,1
5.660,Turn Left,1
5.661,Accelerate,1
5.677,Turn Left,1
5.677,Accelerate,1
5.695,Turn Left,1
5.696,Accelerate,1
5.711,Accelerate,1
5.730,Accelerate,1
5.744,Accelerate,1
5.762,Accelerate,1
5.777,Accelerate,1
5.795,Accelerate,1
5.811,Turn Right,1
5.811,Accelerate,1
5.827,Turn Right,1
5.827,Accelerate,1
5.845,Turn Right,1
5.845,Accelerate,1
5.861,Turn Right,1
5.878,Turn Right,1
5.895,Turn Right,1
5.912,Turn Right,1
5.928,Turn Right,1
6.179,Turn Right,1
6.194,Turn Right,1
6.211,Turn Right,1
6.228,Turn Right,1
6.245,Turn Right,1
6.262,Turn Right,1
6.262,Accelerate,1
6.279,Turn Right,1
6.279,Accelerate,1
6.295,Turn Right,1
6.295,Accelerate,1
6.310,Turn Right,1
6.310,Accelerate,1
6.327,Turn Right,1
6.327,Accelerate,1
6.345,Turn Right,1
6.345,Accelerate,1
